Sample:,PTID,SAMPLE_ID,STIM,Tissue,TimePoint,NK_cells
18C086_F1_F01_041.fcs,SEDXX11,BAL_pre_Unstim,Unstim,BAL,No Vax,3.02
18C086_F3_F03_043.fcs,SEDXX11,BAL_pre_MtbL,Mtb_Lysate,BAL,No Vax,3.05
SEDXX20_G1_G01_045.fcs,SEDXX20,BAL_pre_Unstim,Unstim,BAL,No Vax,1.37
SEDXX20_G3_G03_047.fcs,SEDXX20,BAL_pre_MtbL,Mtb_Lysate,BAL,No Vax,1.38
SEDXX6_F5_F05_049.fcs,SEDXX6,BAL_wk4_Unstim,Unstim,BAL,W4,4.92
SEDXX6_F7_F07_051.fcs,SEDXX6,BAL_wk4_MtbL,Mtb_Lysate,BAL,W4,5.05
20221_E1_E01_017.fcs,20221,BAL_wk8_Unstim,Unstim,BAL,W8,0.37
20221_E3_E03_019.fcs,20221,BAL_wk8_MtbL,Mtb_Lysate,BAL,W8,0.42
4219_E5_E05_037.fcs,4219,BAL_wk8_Unstim,Unstim,BAL,W8,1.27
4219_E7_E07_039.fcs,4219,BAL_wk8_MtbL,Mtb_Lysate,BAL,W8,1.38
20221_A1_A01_001.fcs,20221,PBMC_pre_Unstim,Unstim,PBMC,No Vax,4.26
20221_A3_A03_003.fcs,20221,PBMC_pre_MtbL,Mtb_Lysate,PBMC,No Vax,4.67
4219_A5_A05_021.fcs,4219,PBMC_pre_Unstim,Unstim,PBMC,No Vax,3.74
4219_A7_A07_023.fcs,4219,PBMC_pre_MtbL,Mtb_Lysate,PBMC,No Vax,3.82
20221_B1_B01_005.fcs,20221,PBMC_wk2_Unstim,Unstim,PBMC,W2,6.17
20221_B3_B03_007.fcs,20221,PBMC_wk2_MtbL,Mtb_Lysate,PBMC,W2,6.92
4219_B5_B05_025.fcs,4219,PBMC_wk2_Unstim,Unstim,PBMC,W2,1.47
4219_B7_B07_027.fcs,4219,PBMC_wk2_MtbL,Mtb_Lysate,PBMC,W2,1.69
20221_C1_C01_009.fcs,20221,PBMC_wk4_Unstim,Unstim,PBMC,W4,4.94
20221_C3_C03_011.fcs,20221,PBMC_wk4_MtbL,Mtb_Lysate,PBMC,W4,5.38
4219_C5_C05_029.fcs,4219,PBMC_wk4_Unstim,Unstim,PBMC,W4,1.31
4219_C7_C07_031.fcs,4219,PBMC_wk4_MtbL,Mtb_Lysate,PBMC,W4,1.57
20221_D1_D01_013.fcs,20221,PBMC_wk8_Unstim,Unstim,PBMC,W8,5.64
20221_D3_D03_015.fcs,20221,PBMC_wk8_MtbL,Mtb_Lysate,PBMC,W8,6.06
4219_D5_D05_033.fcs,4219,PBMC_wk8_Unstim,Unstim,PBMC,W8,0.36
4219_D7_D07_035.fcs,4219,PBMC_wk8_MtbL,Mtb_Lysate,PBMC,W8,0.24
18C086_F1_F01_041.fcs,SEDXX11,BAL_pre_Unstim,Unstim,BAL,No Vax,3.02
18C086_F3_F03_043.fcs,SEDXX11,BAL_pre_MtbL,Mtb_Lysate,BAL,No Vax,3.05
SEDXX20_G1_G01_045.fcs,SEDXX20,BAL_pre_Unstim,Unstim,BAL,No Vax,1.37
SEDXX20_G3_G03_047.fcs,SEDXX20,BAL_pre_MtbL,Mtb_Lysate,BAL,No Vax,1.38
SEDXX6_F5_F05_049.fcs,SEDXX6,BAL_wk4_Unstim,Unstim,BAL,W4,4.92
SEDXX6_F7_F07_051.fcs,SEDXX6,BAL_wk4_MtbL,Mtb_Lysate,BAL,W4,5.05
20221_E1_E01_017.fcs,20221,BAL_wk8_Unstim,Unstim,BAL,W8,0.37
20221_E3_E03_019.fcs,20221,BAL_wk8_MtbL,Mtb_Lysate,BAL,W8,0.42
4219_E5_E05_037.fcs,4219,BAL_wk8_Unstim,Unstim,BAL,W8,1.27
4219_E7_E07_039.fcs,4219,BAL_wk8_MtbL,Mtb_Lysate,BAL,W8,1.38
20221_A1_A01_001.fcs,20221,PBMC_pre_Unstim,Unstim,PBMC,No Vax,4.26
20221_A3_A03_003.fcs,20221,PBMC_pre_MtbL,Mtb_Lysate,PBMC,No Vax,4.67
4219_A5_A05_021.fcs,4219,PBMC_pre_Unstim,Unstim,PBMC,No Vax,3.74
4219_A7_A07_023.fcs,4219,PBMC_pre_MtbL,Mtb_Lysate,PBMC,No Vax,3.82
20221_B1_B01_005.fcs,20221,PBMC_wk2_Unstim,Unstim,PBMC,W2,6.17
20221_B3_B03_007.fcs,20221,PBMC_wk2_MtbL,Mtb_Lysate,PBMC,W2,6.92
4219_B5_B05_025.fcs,4219,PBMC_wk2_Unstim,Unstim,PBMC,W2,1.47
4219_B7_B07_027.fcs,4219,PBMC_wk2_MtbL,Mtb_Lysate,PBMC,W2,1.69
20221_C1_C01_009.fcs,20221,PBMC_wk4_Unstim,Unstim,PBMC,W4,4.94
20221_C3_C03_011.fcs,20221,PBMC_wk4_MtbL,Mtb_Lysate,PBMC,W4,5.38
4219_C5_C05_029.fcs,4219,PBMC_wk4_Unstim,Unstim,PBMC,W4,1.31
4219_C7_C07_031.fcs,4219,PBMC_wk4_MtbL,Mtb_Lysate,PBMC,W4,1.57
20221_D1_D01_013.fcs,20221,PBMC_wk8_Unstim,Unstim,PBMC,W8,5.64
20221_D3_D03_015.fcs,20221,PBMC_wk8_MtbL,Mtb_Lysate,PBMC,W8,6.06
4219_D5_D05_033.fcs,4219,PBMC_wk8_Unstim,Unstim,PBMC,W8,0.36
4219_D7_D07_035.fcs,4219,PBMC_wk8_MtbL,Mtb_Lysate,PBMC,W8,0.24
SEDXX21_BAL_E9_E09_081.fcs,SEDXX21,BAL_pre_Unstim,Unstim,BAL,No Vax,2.24
SEDXX21_BAL_E11_E11_083.fcs,SEDXX21,BAL_pre_MtbL,Mtb Lysate,BAL,No Vax,2.57
21819_BAL_C9_C09_073.fcs,21819,BAL_wk8_Unstim,Unstim,BAL,W8,0.96
21819_BAL_C11_C11_075.fcs,21819,BAL_wk8_MtbL,Mtb Lysate,BAL,W8,1.11
21519_BAL_B9_B09_069.fcs,21519,BAL_wk8_Unstim,Unstim,BAL,W8,0.82
21519_BAL_B11_B11_071.fcs,21519,BAL_wk8_MtbL,Mtb Lysate,BAL,W8,0.84
9621_BAL_A9_A09_065.fcs,9621,BAL_wk8_Unstim,Unstim,BAL,W8,1.93
9621_BAL_A11_A11_067.fcs,9621,BAL_wk8_MtbL,Mtb Lysate,BAL,W8,1.74
4319_BAL_D9_D09_077.fcs,4319,BAL_wk8_Unstim,Unstim,BAL,W8,5.02
4319_BAL_D11_D11_079.fcs,4319,BAL_wk8_MtbL,Mtb Lysate,BAL,W8,4.35
21819_A5_A05_033.fcs,21819,PBMC_pre_Unstim,Unstim,PBMC,No Vax,4.45
21819_A7_A07_035.fcs,21819,PBMC_pre_MtbL,Mtb Lysate,PBMC,No Vax,4.52
21519_E1_E01_017.fcs,21519,PBMC_pre_Unstim,Unstim,PBMC,No Vax,5.84
21519_E3_E03_019.fcs,21519,PBMC_pre_MtbL,Mtb Lysate,PBMC,No Vax,6.7
9621_A1_A01_001.fcs,9621,PBMC_pre_Unstim,Unstim,PBMC,No Vax,3.61
9621_A3_A03_003.fcs,9621,PBMC_wk0_MtbL,Mtb Lysate,PBMC,No Vax,3.79
4319_E5_E05_049.fcs,4319,PBMC_pre_Unstim,Unstim,PBMC,No Vax,1.21
4319_E7_E07_051.fcs,4319,PBMC_pre_MtbL,Mtb Lysate,PBMC,No Vax,1.28
21819_B5_B05_037.fcs,21819,PBMC_wk2_Unstim,Unstim,PBMC,W2,0.75
21819_B7_B07_039.fcs,21819,PBMC_wk2_MtbL,Mtb Lysate,PBMC,W2,0.79
21519_F1_F01_021.fcs,21519,PBMC_wk2_Unstim,Unstim,PBMC,W2,7.33
21519_F3_F03_023.fcs,21519,PBMC_wk2_MtbL,Mtb Lysate,PBMC,W2,8.31
9621_B1_B01_005.fcs,9621,PBMC_wk2_Unstim,Unstim,PBMC,W2,2.98
9621_B3_B03_007.fcs,9621,PBMC_wk2_MtbL,Mtb Lysate,PBMC,W2,3.55
4319_F5_F05_053.fcs,4319,PBMC_wk2_Unstim,Unstim,PBMC,W2,0.91
4319_F7_F07_055.fcs,4319,PBMC_wk2_MtbL,Mtb Lysate,PBMC,W2,0.94
21819_C5_C05_041.fcs,21819,PBMC_wk4_Unstim,Unstim,PBMC,W4,2.33
21819_C7_C07_043.fcs,21819,PBMC_wk4_MtbL,Mtb Lysate,PBMC,W4,2.5
21519_G1_G01_025.fcs,21519,PBMC_wk4_Unstim,Unstim,PBMC,W4,5.12
21519_G3_G03_027.fcs,21519,PBMC_wk4_MtbL,Mtb Lysate,PBMC,W4,5.41
9621_C1_C01_009.fcs,9621,PBMC_wk4_Unstim,Unstim,PBMC,W4,1.43
9621_C3_C03_011.fcs,9621,PBMC_wk4_MtbL,Mtb Lysate,PBMC,W4,1.61
4319_G5_G05_057.fcs,4319,PBMC_wk4_Unstim,Unstim,PBMC,W4,2.53
4319_G7_G07_059.fcs,4319,PBMC_wk4_MtbL,Mtb Lysate,PBMC,W4,2.61
21819_D5_D05_045.fcs,21819,PBMC_wk8_Unstim,Unstim,PBMC,W8,0.57
21819_D7_D07_047.fcs,21819,PBMC_wk8_MtbL,Mtb Lysate,PBMC,W8,0.54
21519_H1_H01_029.fcs,21519,PBMC_wk8_Unstim,Unstim,PBMC,W8,12.4
21519_H3_H03_031.fcs,21519,PBMC_wk8_MtbL,Mtb Lysate,PBMC,W8,12.8
9621_D1_D01_013.fcs,9621,PBMC_wk8_Unstim,Unstim,PBMC,W8,3.45
9621_D3_D03_015.fcs,9621,PBMC_wk8_MtbL,Mtb Lysate,PBMC,W8,3.86
4319_H5_H05_061.fcs,4319,PBMC_wk8_Unstim,Unstim,PBMC,W8,4.47
4319_H7_H07_063.fcs,4319,PBMC_wk8_MtbL,Mtb Lysate,PBMC,W8,4.44
19521_A1_A01_002.fcs,19521,PBMC_pre_Unstim,Unstim,PBMC,No Vax,2.3
19521_A3_A03_004.fcs,19521,PBMC_pre_MtbL,Mtb Lysate,PBMC,No Vax,2.49
19521_BAL_A9_A09_026.fcs,19521,BAL_wk8_Unstim,Unstim,BAL,W8,0.46
19521_BAL_A11_A11_028.fcs,19521,BAL_wk8_MtbL,Mtb Lysate,BAL,W8,0.46
19521_B1_B01_006.fcs,19521,PBMC_wk4_Unstim,Unstim,PBMC,W4,1.35
19521_B3_B03_008.fcs,19521,PBMC_wk4_MtbL,Mtb Lysate,PBMC,W4,1.64
19521_C1_C01_010.fcs,19521,PBMC_wk8_Unstim,Unstim,PBMC,W8,1.75
19521_C3_C03_012.fcs,19521,PBMC_wk8_MtbL,Mtb Lysate,PBMC,W8,1.97
4519_BAL_B9_B09_030.fcs,4519,BAL_wk8_Unstim,Unstim,BAL,W8,1.4
4519_BAL_B11_B11_032.fcs,4519,BAL_wk8_MtbL,Mtb Lysate,BAL,W8,1.5
4519_D1_D01_046.fcs,4519,PBMC_pre_Unstim,Unstim,PBMC,No Vax,3.14
4519_D3_D03_048.fcs,4519,PBMC_pre_MtbL,Mtb Lysate,PBMC,No Vax,2.92
4519_E1_E01_050.fcs,4519,PBMC_wk2_Unstim,Unstim,PBMC,W2,5.86
4519_E3_E03_052.fcs,4519,PBMC_wk2_MtbL,Mtb Lysate,PBMC,W2,5.68
4519_F1_F01_054.fcs,4519,PBMC_wk4_Unstim,Unstim,PBMC,W4,0.28
4519_F3_F03_056.fcs,4519,PBMC_wk4_MtbL,Mtb Lysate,PBMC,W4,0.33
4519_G1_G01_058.fcs,4519,PBMC_wk8_Unstim,Unstim,PBMC,W8,2.12
4519_G3_G03_060.fcs,4519,PBMC_wk8_MtbL,Mtb Lysate,PBMC,W8,2.07
21219_A5_A05_014.fcs,21219,PBMC_pre_Unstim,Unstim,PBMC,No Vax,0.32
21219_A7_A07_016.fcs,21219,PBMC_pre_MtbL,Mtb Lysate,PBMC,No Vax,0.29
21219_BAL_C9_C09_034.fcs,21219,BAL_wk8_Unstim,Unstim,BAL,W8,1.22
21219_BAL_C11_C11_036.fcs,21219,BAL_wk8_MtbL,Mtb Lysate,BAL,W8,1.15
21219_B5_B05_018.fcs,21219,PBMC_wk4_Unstim,Unstim,PBMC,W4,0.46
21219_B7_B07_020.fcs,21219,PBMC_wk4_MtbL,Mtb Lysate,PBMC,W4,0.53
21219_C5_C05_022.fcs,21219,PBMC_wk8_Unstim,Unstim,PBMC,W8,1.31
21219_C7_C07_024.fcs,21219,PBMC_wk8_MtbL,Mtb Lysate,PBMC,W8,1.31
SEDXX19_BAL_E9_E09_042.fcs,SEDXX19,BAL_pre_Unstim,Unstim,BAL,No Vax,1.52
SEDXX19_BAL_E11_E11_044.fcs,SEDXX19,BAL_pre_MtbL,Mtb Lysate,BAL,No Vax,1.64
5219_BAL_D9_D09_038.fcs,5219,BAL_wk8_Unstim,Unstim,BAL,W8,1.38
5219_BAL_D11_D11_040.fcs,5219,BAL_wk8_MtbL,Mtb Lysate,BAL,W8,1.32
5219_D5_D05_062.fcs,5219,PBMC_pre_Unstim,Unstim,PBMC,No Vax,5.4
5219_D7_D07_064.fcs,5219,PBMC_pre_MtbL,Mtb Lysate,PBMC,No Vax,5.39
5219_E5_E05_066.fcs,5219,PBMC_wk2_Unstim,Unstim,PBMC,W2,1.89
5219_E7_E07_068.fcs,5219,PBMC_wk2_MtbL,Mtb Lysate,PBMC,W2,2.01
5219_F5_F05_070.fcs,5219,PBMC_wk4_Unstim,Unstim,PBMC,W4,0.46
5219_F7_F07_072.fcs,5219,PBMC_wk4_MtbL,Mtb Lysate,PBMC,W4,0.22
5219_G5_G05_074.fcs,5219,PBMC_wk8_Unstim,Unstim,PBMC,W8,1.32
5219_G7_G07_076.fcs,5219,PBMC_wk8_MtbL,Mtb Lysate,PBMC,W8,0.48
SEDXX5_BAL_A9_A09_049.fcs,SEDXX5,BAL_wk4_Unstim,Unstim,BAL,W4,2.78
SEDXX5_BAL_A11_A11_051.fcs,SEDXX5,BAL_wk4_MtbL,Mtb_Lysate,BAL,W4,3.3
SEDXX2_BAL_B9_B09_053.fcs,SEDXX2,BAL_wk4_Unstim,Unstim,BAL,W4,2.15
SEDXX2_BAL_B11_B11_055.fcs,SEDXX2,BAL_wk4_MtbL,Mtb_Lysate,BAL,W4,2.57
SEDXX15_BAL_D9_D09_061.fcs,SEDXX15,BAL_wk4_Unstim,Unstim,BAL,W4,16
SEDXX15_BAL_D11_D11_063.fcs,SEDXX15,BAL_wk4_MtbL,Mtb_Lysate,BAL,W4,15.9
21919_BAL_H5_H05_081.fcs,21919,BAL_wk8_Unstim,Unstim,BAL,W8,0.69
21919_BAL_H7_H07_083.fcs,21919,BAL_wk8_MtbL,Mtb_Lysate,BAL,W8,0.63
21919_E1_E01_017.fcs,21919,PBMC_pre_Unstim,Unstim,PBMC,No Vax,2.73
21919_E3_E03_019.fcs,21919,PBMC_pre_MtbL,Mtb_Lysate,PBMC,No Vax,2.56
21919_F1_F01_021.fcs,21919,PBMC_wk2_Unstim,Unstim,PBMC,W2,3.79
21919_F3_F03_023.fcs,21919,PBMC_wk2_MtbL,Mtb_Lysate,PBMC,W2,3.91
21919_G1_G01_025.fcs,21919,PBMC_wk4_Unstim,Unstim,PBMC,W4,0.54
21919_G3_G03_027.fcs,21919,PBMC_wk4_MtbL,Mtb_Lysate,PBMC,W4,0.43
21919_H1_H01_029.fcs,21919,PBMC_wk8_Unstim,Unstim,PBMC,W8,9.45
21919_H3_H03_031.fcs,21919,PBMC_wk8_MtbL,Mtb_Lysate,PBMC,W8,9.35
22619_A1_A01_001.fcs,22619,PBMC_pre_Unstim,Unstim,PBMC,No Vax,4.27
22619_A3_A03_003.fcs,22619,PBMC_pre_MtbL,Mtb_Lysate,PBMC,No Vax,4.2
22619_BAL_G5_G05_077.fcs,22619,BAL_wk4_Unstim,Unstim,BAL,W4,1.02
22619_BAL_G7_G07_079.fcs,22619,BAL_wk4_MtbL,Mtb_Lysate,BAL,W4,0.98
22619_B1_B01_005.fcs,22619,PBMC_wk2_Unstim,Unstim,PBMC,W2,11.5
22619_B3_B03_007.fcs,22619,PBMC_w2_MtbL,Mtb_Lysate,PBMC,W2,12.3
22619_C1_C01_009.fcs,22619,PBMC_wk4_Unstim,Unstim,PBMC,W4,6.2
22619_C3_C03_011.fcs,22619,PBMC_wk4_MtbL,Mtb_Lysate,PBMC,W4,6.11
22619_D1_D01_013.fcs,22619,PBMC_wk8_Unstim,Unstim,PBMC,W8,4.32
22619_D3_D03_015.fcs,22619,PBMC_wk8_MtbL,Mtb_Lysate,PBMC,W8,4.29
SEDXX22_BAL_E9_E09_065.fcs,SEDXX22,BAL_pre_Unstim,Unstim,BAL,No Vax,0.8
SEDXX22_BAL_E11_E11_067.fcs,SEDXX22,BAL_pre_MtbL,Mtb_Lysate,BAL,No Vax,1.05
SEDXX23_BAL_F9_F09_085.fcs,SEDXX23,BAL_pre_Unstim,Unstim,BAL,No Vax,0.76
SEDXX23_BAL_F11_F11_087.fcs,SEDXX23,BAL_pre_MtbL,Mtb_Lysate,BAL,No Vax,1.19
4819_A5_A05_033.fcs,4819,PBMC_pre_Unstim,Unstim,PBMC,No Vax,0.54
4819_A7_A07_035.fcs,4819,PBMC_pre_MtbL,Mtb_Lysate,PBMC,No Vax,0.59
4819_BAL_E5_E05_069.fcs,4819,BAL_wk8_Unstim,Unstim,BAL,W8,1.13
4819_BAL_E7_E07_071.fcs,4819,BAL_wk8_MtbL,Mtb_Lysate,BAL,W8,1.82
4819_BAL_F5_F05_073.fcs,4819,BAL_wk4_Unstim,Unstim,BAL,W4,5.31
4819_BAL_F7_F07_075.fcs,4819,BAL_wk4_MtbL,Mtb_Lysate,BAL,W4,6.06
4819_B5_B05_037.fcs,4819,PBMC_wk2_Unstim,Unstim,PBMC,W2,7.06
4819_B7_B07_039.fcs,4819,PBMC_wk2_MtbL,Mtb_Lysate,PBMC,W2,8.09
4819_C5_C05_041.fcs,4819,PBMC_wk4_Unstim,Unstim,PBMC,W4,5.85
4819_C7_C07_043.fcs,4819,PBMC_wk4_MtbL,Mtb_Lysate,PBMC,W4,6.18
4819_D5_D05_045.fcs,4819,PBMC_wk8_Unstim,Unstim,PBMC,W8,6.2
4819_D7_D07_047.fcs,4819,PBMC_wk8_MtbL,Mtb_Lysate,PBMC,W8,6.08
4319_BAL_C9_C09_057.fcs,4319,BAL_wk4_Unstim,Unstim,BAL,W4,5.5
4319_BAL_C11_C11_059.fcs,4319,BAL_wk4_MtbL,Mtb_Lysate,BAL,W4,5.14
