Sample:,PTID,SAMPLE_ID,STIM,Tissue,TimePoint,CD103,CD69,CD25,CD16,CD57,CD158,GranzymeB,NKG2D,CD69CD103,CD69GranB,CD69GranB_,CD69_GranB
20221_E3_E03_019.fcs,20221,20221_BAL_wk8,Mtb Lysate,BAL,W8,42.1,92.7,21.1,14.9,0.19,0.96,87.7,0.57,41.4,81.4,11.3,6.32
20221_E1_E01_017.fcs,20221,20221_BAL_wk8,Unstim,BAL,W8,53.7,91.8,0,5.38,0,0.6,39.6,2.39,52.5,35,56.8,4.63
20221_A3_A03_003.fcs,20221,20221_PBMC_pre,Mtb Lysate,PBMC,No Vax,0.32,20.8,0.19,58.1,0.097,0.3,86.4,0.24,0.11,18.2,2.69,68.2
20221_A1_A01_001.fcs,20221,20221_PBMC_pre,Unstim,PBMC,No Vax,0.39,20.1,0,51,0.13,0.18,81.7,0.39,0.078,15.8,4.3,65.9
20221_B3_B03_007.fcs,20221,20221_PBMC_wk2,Mtb Lysate,PBMC,W2,0.25,23.5,0.41,73.8,0.067,0.29,96,0.06,0.15,22.7,0.82,73.4
20221_B1_B01_005.fcs,20221,20221_PBMC_wk2,Unstim,PBMC,W2,0.43,26.9,0,40,0.014,0.21,95.4,0.14,0.12,25.8,1.11,69.6
20221_C3_C03_011.fcs,20221,20221_PBMC_wk4,Mtb Lysate,PBMC,W4,0.5,37.4,0.63,57.5,0.15,0.93,96.2,0.067,0.36,36.1,1.22,60.1
20221_C1_C01_009.fcs,20221,20221_PBMC_wk4,Unstim,PBMC,W4,0.49,28,0.027,38.8,0.08,0.81,94.1,0.24,0.27,26.4,1.6,67.7
20221_D3_D03_015.fcs,20221,20221_PBMC_wk8,Mtb Lysate,PBMC,W8,0.36,39.4,0.38,53.6,0.065,0.46,93,0.13,0.28,36.5,2.96,56.5
20221_D1_D01_013.fcs,20221,20221_PBMC_wk8,Unstim,PBMC,W8,0.54,28.5,0,38.8,0.012,0.27,85.4,0.39,0.28,23.5,4.99,61.9
18C086_F3_F03_043.fcs,SEDXX11,SEDXX11_BAL_pre,Mtb Lysate,BAL,No Vax,37,86,12.8,6.94,0.13,1.06,59.6,1.72,35.3,54.5,31.5,5.16
18C086_F1_F01_041.fcs,SEDXX11,SEDXX11_BAL_pre,Unstim,BAL,No Vax,42.1,78.7,2.43,7.37,0.14,0.5,36.4,1.5,36.8,30.3,48.4,6.15
SEDXX20_G3_G03_047.fcs,SEDXX20,SEDXX20_BAL_pre,Mtb Lysate,BAL,No Vax,33.6,80.6,12.3,3.27,0.43,1.33,16.2,1.95,30.8,13.1,67.5,3.08
SEDXX20_G1_G01_045.fcs,SEDXX20,SEDXX20_BAL_pre,Unstim,BAL,No Vax,32.6,68.4,2.68,3.78,0.65,1.59,11.9,1.54,28,7,61.4,4.87
4219_E7_E07_039.fcs,4219,4219_BAL_wk8,Mtb Lysate,BAL,W8,33.5,92,34.5,35.1,0.26,0.54,92.4,0.49,33.4,85.2,6.85,7.26
4219_E5_E05_037.fcs,4219,4219_BAL_wk8,Unstim,BAL,W8,38.5,83.7,0.28,33.7,0.13,0.35,51.9,3.13,36.8,39.5,44.2,12.4
4219_A7_A07_023.fcs,4219,4219_PBMC_pre,Mtb Lysate,PBMC,No Vax,0.22,10.9,0.17,44.8,0.055,0.19,91.5,0.064,0.025,9.95,0.94,81.5
4219_A5_A05_021.fcs,4219,4219_PBMC_pre,Unstim,PBMC,No Vax,1.25,8.88,0.033,37.2,0.091,0.24,86,0.2,0.043,7.44,1.45,78.6
4219_B7_B07_027.fcs,4219,4219_PBMC_wk2,Mtb Lysate,PBMC,W2,0.22,20,1.21,52,0.33,0.83,95,0.17,0.028,19.5,0.5,75.5
4219_B5_B05_025.fcs,4219,4219_PBMC_wk2,Unstim,PBMC,W2,3.13,16.6,0,26.2,0.23,0.57,93.9,1.16,0.3,16.2,0.4,77.8
4219_C7_C07_031.fcs,4219,4219_PBMC_wk4,Mtb Lysate,PBMC,W4,0.23,23.5,1.08,41.2,0.35,1.17,89,0.065,0.039,21.8,1.68,67.1
4219_C5_C05_029.fcs,4219,4219_PBMC_wk4,Unstim,PBMC,W4,1.99,10.6,0.042,23.9,0.3,0.84,92.6,0.61,0.097,10.3,0.28,82.2
4219_D7_D07_035.fcs,4219,4219_PBMC_wk8,Mtb Lysate,PBMC,W8,1.31,7.66,0,27.9,3.55,2.43,86.4,0.56,0,7.66,0,78.7
4219_D5_D05_033.fcs,4219,4219_PBMC_wk8,Unstim,PBMC,W8,4.07,13.4,0.16,24.8,1.47,1.47,88.8,0.16,0.49,13,0.33,75.7
SEDXX6_F7_F07_051.fcs,SEDXX6,SEDXX6_BAL_wk4,Mtb Lysate,BAL,W4,36.3,78.3,35.3,75.4,0.06,1.17,87.2,1.18,35.8,69.3,9.01,17.9
SEDXX6_F5_F05_049.fcs,SEDXX6,SEDXX6_BAL_wk4,Unstim,BAL,W4,41.1,70.2,27.6,74.8,0.051,0.69,79.5,2.1,40.3,55.1,15.1,24.3
SEDXX16_F7_F07_047.fcs,SEDXX16,SEDXX16_BAL_pre,Mtb Lysate,BAL,No Vax,63.3,84.8,6.96,0.63,1.9,1.27,72.2,0,60.1,64.6,20.3,7.59
SEDXX16_F5_F05_045.fcs,SEDXX16,SEDXX16_BAL_pre,Unstim,BAL,No Vax,55,78.2,0.47,2.37,0.95,0.47,29.4,0.95,49.8,21.3,56.9,8.06
22119_E11_E11_067.fcs,22119,22119_BAL_wk8,Mtb Lysate,BAL,W8,62.3,82.7,12.9,1.24,0.049,0.49,96,0,56.9,79.6,3.06,16.4
22119_E9_E09_065.fcs,22119,22119_BAL_wk8,Unstim,BAL,W8,85.6,73.7,0.71,1.6,0.12,0.59,44.2,0,66.1,35.1,38.7,9.19
22119_A11_A11_051.fcs,22119,22119_PBMC_pre,Mtb Lysate,PBMC,No Vax,2.18,12.7,0.34,25,0.23,0.4,88.1,0.057,0,11.6,1.15,76.5
22119_A9_A09_049.fcs,22119,22119_PBMC_pre,Unstim,PBMC,No Vax,4.67,8.83,0,23.6,0.29,0.8,70.7,0.15,0.15,7.08,1.75,63.6
22119_B11_B11_055.fcs,22119,22119_PBMC_wk2,Mtb Lysate,PBMC,W2,1.13,19.3,2.26,35.6,0.35,1.04,92.9,0.087,0.26,18.4,0.87,74.5
22119_B9_B09_053.fcs,22119,22119_PBMC_wk2,Unstim,PBMC,W2,1.03,12.7,0.086,30,0.17,0.34,78.1,0,0,11.3,1.37,66.8
22119_C11_C11_059.fcs,22119,22119_PBMC_wk4,Mtb Lysate,PBMC,W4,0.83,32,1.01,39.4,0,0.92,92.8,0.18,0.28,31.2,0.74,61.6
22119_C9_C09_057.fcs,22119,22119_PBMC_wk4,Unstim,PBMC,W4,1.27,15.2,0.36,26.1,0.091,0.45,80.1,0.091,0.27,14,1.18,66.1
22119_D11_D11_063.fcs,22119,22119_PBMC_wk8,Mtb Lysate,PBMC,W8,2.2,28.9,0.35,29.6,0,0.31,94.6,0.07,0.14,28,0.84,66.6
22119_D9_D09_061.fcs,22119,22119_PBMC_wk8,Unstim,PBMC,W8,2.03,12.8,0,27.5,0.31,0.9,78.8,0.078,0.16,9.76,3.01,69.1
4119_E7_E07_039.fcs,4119,4119_BAL_wk8,Mtb Lysate,BAL,W8,18,86,31.9,8.9,0.3,0.36,91.2,0.78,17.9,79,6.93,12.2
4119_E5_E05_037.fcs,4119,4119_BAL_wk8,Unstim,BAL,W8,23.7,77,3.61,9.88,0.12,0.65,51.2,1.83,22,39.5,37.5,11.7
4119_A7_A07_023.fcs,4119,4119_PBMC_pre,Mtb Lysate,PBMC,No Vax,0.27,18.9,0.14,61.4,0.067,0.61,93.6,0.067,0.13,17.7,1.2,75.9
4119_A5_A05_021.fcs,4119,4119_PBMC_pre,Unstim,PBMC,No Vax,0.25,16.6,0.025,53,0.049,0.45,90.5,0.11,0.11,14.7,1.86,75.8
4119_B7_B07_027.fcs,4119,4119_PBMC_wk2,Mtb Lysate,PBMC,W2,0.34,27.3,0.88,40.5,0.084,0.54,92.6,0,0.17,25.4,1.88,67.3
4119_B5_B05_025.fcs,4119,4119_PBMC_wk2,Unstim,PBMC,W2,0.37,18.3,0,21.9,0,1.07,88.1,0.53,0.21,16.4,1.92,71.7
4119_C7_C07_031.fcs,4119,4119_PBMC_wk4,Mtb Lysate,PBMC,W4,0.26,45,1.2,45.1,0.052,0.71,93.1,0.1,0.24,43.3,1.75,49.8
4119_C5_C05_029.fcs,4119,4119_PBMC_wk4,Unstim,PBMC,W4,0.45,27.7,0.06,22.5,0,0.89,82.9,0.69,0.24,22.5,5.18,60.4
4119_D7_D07_035.fcs,4119,4119_PBMC_wk8,Mtb Lysate,PBMC,W8,0.55,44.7,0.78,46.3,0.046,1.29,89,0.092,0.32,42.2,2.57,46.8
4119_D5_D05_033.fcs,4119,4119_PBMC_wk8,Unstim,PBMC,W8,0.72,28,0.085,25.6,0.13,1.02,77.2,0.64,0.47,22.3,5.71,54.9
SEDXX18_F3_F03_043.fcs,SEDXX18,SEDXX18_BAL_pre,Mtb Lysate,BAL,No Vax,36.4,87.3,11,1.62,0.36,1.08,34.5,1.08,35.4,32.3,54.9,2.15
SEDXX18_F1_F01_041.fcs,SEDXX18,SEDXX18_BAL_pre,Unstim,BAL,No Vax,37.1,75.6,1.3,1.79,0.33,1.3,16.4,1.79,34.9,12.9,62.7,3.58
10221_E3_E03_019.fcs,10221,10221_BAL_wk8,Mtb Lysate,BAL,W8,41.7,83.4,14.7,2.18,0.24,0.4,90.9,0.24,41.3,76,7.41,14.9
10221_E1_E01_017.fcs,10221,10221_BAL_wk8,Unstim,BAL,W8,50.3,80.4,0.14,2.23,0,0.22,14.8,0.72,46.7,12.6,67.9,2.23
10221_A3_A03_003.fcs,10221,10221_PBMC_pre,Mtb Lysate,PBMC,No Vax,0.39,19.7,0.44,61.3,0.047,0.34,88.3,0.047,0.25,18,1.72,70.3
10221_A1_A01_001.fcs,10221,10221_PBMC_pre,Unstim,PBMC,No Vax,0.78,16.9,0.25,56.5,0.19,0.55,85.4,0.094,0.27,14.7,2.17,70.7
10221_B3_B03_007.fcs,10221,10221_PBMC_wk2,Mtb Lysate,PBMC,W2,0.26,29,0.47,52.7,0.026,0.63,95.2,0.026,0.1,28.1,0.89,67.1
10221_B1_B01_005.fcs,10221,10221_PBMC_wk2,Unstim,PBMC,W2,0.58,20.4,0.028,29.4,0,0.91,90,0.33,0.41,18.7,1.71,71.3
10221_C3_C03_011.fcs,10221,10221_PBMC_wk4,Mtb Lysate,PBMC,W4,1.32,39.3,0.63,57.1,0.14,2.02,90.9,0.07,0.97,37,2.37,53.9
10221_C1_C01_009.fcs,10221,10221_PBMC_wk4,Unstim,PBMC,W4,2.54,24,0.13,38.8,0.2,1.8,87.2,0.4,1.33,21.2,2.8,66
10221_D3_D03_015.fcs,10221,10221_PBMC_wk8,Mtb Lysate,PBMC,W8,0.39,36.5,0.44,62.7,0.03,0.39,95.8,0.015,0.26,35.7,0.79,60.1
10221_D1_D01_013.fcs,10221,10221_PBMC_wk8,Unstim,PBMC,W8,0.51,16.2,0.051,38.1,0.1,0.77,90.3,0.22,0.21,14.7,1.47,75.6
21819_BAL_C11_C11_075.fcs,21819,21819_BAL_wk8,Mtb Lysate,BAL,W8,17.3,92.6,26.5,13.6,0,0.19,78.6,0.48,16.9,72.8,19.9,5.83
21819_BAL_C9_C09_073.fcs,21819,21819_BAL_wk8,Unstim,BAL,W8,30.7,82.9,0.61,17,0.1,0.1,33.3,1.33,28.6,26,56.8,7.24
21819_A7_A07_035.fcs,21819,21819_PBMC_pre,Mtb Lysate,PBMC,No Vax,0.13,22.3,0.34,56.9,0.024,0.13,72,0.2,0.073,17.9,4.42,54.1
21819_A5_A05_033.fcs,21819,21819_PBMC_pre,Unstim,PBMC,No Vax,0.1,17,0.025,51.4,0.025,0.059,61.9,0.3,0.042,10.6,6.44,51.3
21819_B7_B07_039.fcs,21819,21819_PBMC_wk2,Mtb Lysate,PBMC,W2,1.14,27.4,0.8,57.4,0.23,0.46,89,0,1.03,24.7,2.74,64.4
21819_B5_B05_037.fcs,21819,21819_PBMC_wk2,Unstim,PBMC,W2,0.29,25.3,0,42.6,0,0.19,88,0.97,0.097,24.2,1.16,63.8
21819_C7_C07_043.fcs,21819,21819_PBMC_wk4,Mtb Lysate,PBMC,W4,0.17,42.4,2.81,60.3,0.065,0.15,90.9,0.15,0.15,39.8,2.59,51.1
21819_C5_C05_041.fcs,21819,21819_PBMC_wk4,Unstim,PBMC,W4,0.18,14.1,0,45.7,0.033,0.098,81,0.16,0.065,12.1,1.95,68.9
21819_D7_D07_047.fcs,21819,21819_PBMC_wk8,Mtb Lysate,PBMC,W8,0.23,34.2,0.23,36.7,0.23,0.23,84.2,0.46,0.23,29.8,4.36,54.4
21819_D5_D05_045.fcs,21819,21819_PBMC_wk8,Unstim,PBMC,W8,0.15,20.8,0,27.4,0.45,0.45,73,0.89,0,17.4,3.41,55.6
21519_BAL_B11_B11_071.fcs,21519,21519_BAL_wk8,Mtb Lysate,BAL,W8,37.8,97.4,54.9,2.05,0.22,0.22,85.6,0.37,37.5,84.2,13.1,1.32
21519_BAL_B9_B09_069.fcs,21519,21519_BAL_wk8,Unstim,BAL,W8,42.7,90.5,11.4,3.14,0.19,0.19,53.2,1.88,40.3,50,40.5,3.24
21519_E3_E03_019.fcs,21519,21519_PBMC_pre,Mtb Lysate,PBMC,No Vax,0.31,21.4,0.11,51.5,0.057,0.3,82.9,0.29,0.18,18.3,3.15,64.6
21519_E1_E01_017.fcs,21519,21519_PBMC_pre,Unstim,PBMC,No Vax,0.24,19.5,0.015,50.3,0.041,0.29,74.2,0.47,0.11,15.2,4.34,59
21519_F3_F03_023.fcs,21519,21519_PBMC_wk2,Mtb Lysate,PBMC,W2,0.2,26.9,0.37,73.6,0.036,0.37,96.9,0.35,0.16,26.3,0.55,70.6
21519_F1_F01_021.fcs,21519,21519_PBMC_wk2,Unstim,PBMC,W2,0.25,23,0.028,37.3,0.028,0.16,92.5,0.47,0.18,21.9,1.11,70.6
21519_G3_G03_027.fcs,21519,21519_PBMC_wk4,Mtb Lysate,PBMC,W4,0.34,31.6,0.4,71.6,0.057,0.27,94.9,0.28,0.31,30.4,1.18,64.4
21519_G1_G01_025.fcs,21519,21519_PBMC_wk4,Unstim,PBMC,W4,0.47,19.3,0.027,43.3,0.027,0.15,88.9,0.47,0.31,17.8,1.56,71.1
21519_H3_H03_031.fcs,21519,21519_PBMC_wk8,Mtb Lysate,PBMC,W8,0.17,31.1,0.28,66.8,0.015,0.23,93.1,0.39,0.12,29.2,1.82,63.9
21519_H1_H01_029.fcs,21519,21519_PBMC_wk8,Unstim,PBMC,W8,0.13,20.6,7.43E-03,48.6,7.43E-03,0.19,85.1,0.57,0.077,17.7,2.85,67.4
9621_BAL_A11_A11_067.fcs,9621,9621_BAL_wk8,Mtb Lysate,BAL,W8,33.6,97.3,49.4,5.26,0.21,0.78,91.2,1.41,33.6,89.6,7.76,1.67
9621_BAL_A9_A09_065.fcs,9621,9621_BAL_wk8,Unstim,BAL,W8,35.4,88.7,1.51,7.74,0.027,0.27,52.2,5.43,34.8,45.7,43,6.56
9621_A1_A01_001.fcs,9621,9621_PBMC_pre,Unstim,PBMC,No Vax,0.51,9.9,0.046,48.8,0.15,0.27,66.7,0.65,0.12,6.55,3.35,60.2
9621_A3_A03_003.fcs,9621,9621_PBMC_pre,Mtb Lysate,PBMC,No Vax,0.16,16,0.31,52.9,0.066,0.24,83.4,0.18,0.075,13.9,2.07,69.5
9621_B3_B03_007.fcs,9621,9621_PBMC_wk2,Mtb Lysate,PBMC,W2,0.37,40.1,1.63,66.3,0.02,0.3,96.2,0.22,0.35,39.4,0.71,56.8
9621_B1_B01_005.fcs,9621,9621_PBMC_wk2,Unstim,PBMC,W2,0.28,19.9,0.02,31.9,0.04,0.1,90.6,0.74,0.26,18.9,1,71.7
9621_C3_C03_011.fcs,9621,9621_PBMC_wk4,Mtb Lysate,PBMC,W4,0.84,54.2,3.16,56.1,0.07,0.53,96.9,0.11,0.81,53.8,0.46,43.1
9621_C1_C01_009.fcs,9621,9621_PBMC_wk4,Unstim,PBMC,W4,0.82,16.6,0,35.4,0.11,0.08,87,1.38,0.61,14.5,2.1,72.5
9621_D3_D03_015.fcs,9621,9621_PBMC_wk8,Mtb Lysate,PBMC,W8,0.34,57.9,1.3,63.3,0.038,0.17,95.9,0.2,0.31,56.6,1.35,39.3
9621_D1_D01_013.fcs,9621,9621_PBMC_wk8,Unstim,PBMC,W8,0.48,17.5,0.049,40.4,0.049,0.16,82.4,0.63,0.31,14.5,2.97,67.9
4319_BAL_D11_D11_079.fcs,4319,4319_BAL_wk8,Mtb Lysate,BAL,W8,56.5,95.5,36.8,20.5,0.081,0.26,93.5,0.04,55.2,89.6,5.84,3.88
